Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte,data
Abruzzo,89,72.887,7.010,542,255,4%,235,18,-450%,20,155,-1670%,Dati della Protezione Civile del 13 Maggio 2021 ore 18:11,2021-05-13
Basilicata,91,25.302,5.341,965,131,2%,121,22,-080%,10,181,000%,Dati della Protezione Civile del 13 Maggio 2021 ore 18:11,2021-05-13
Calabria,327,63.962,12.453,657,428,3%,400,21,-050%,28,148,000%,Dati della Protezione Civile del 13 Maggio 2021 ore 18:11,2021-05-13
Campania,1.110,408.653,81.450,1.426,1.390,2%,1.285,22,-170%,105,184,-950%,Dati della Protezione Civile del 13 Maggio 2021 ore 18:11,2021-05-13
Emilia-Romagna,618,378.060,26.809,601,1.362,5%,1.199,27,-320%,163,365,-840%,Dati della Protezione Civile del 13 Maggio 2021 ore 18:11,2021-05-13
Friuli Venezia Giulia,100,106.368,5.970,495,116,2%,98,8,-1830%,18,149,000%,Dati della Protezione Civile del 13 Maggio 2021 ore 18:11,2021-05-13
Lazio,654,334.570,35.145,611,1.822,5%,1.589,28,-830%,233,405,-450%,Dati della Protezione Civile del 13 Maggio 2021 ore 18:11,2021-05-13
Liguria,115,101.467,3.247,213,373,11%,326,21,-690%,47,308,-410%,Dati della Protezione Civile del 13 Maggio 2021 ore 18:11,2021-05-13
Lombardia,1.396,822.379,39.544,394,2.768,7%,2.351,23,-370%,417,416,-690%,Dati della Protezione Civile del 13 Maggio 2021 ore 18:11,2021-05-13
Marche,233,100.408,5.069,335,336,7%,286,19,-500%,50,331,-200%,Dati della Protezione Civile del 13 Maggio 2021 ore 18:11,2021-05-13
Molise,12,13.477,349,116,24,7%,20,7,-1670%,4,133,000%,Dati della Protezione Civile del 13 Maggio 2021 ore 18:11,2021-05-13
P.A. Bolzano,65,72.033,1.065,200,31,3%,24,5,-400%,7,131,1670%,Dati della Protezione Civile del 13 Maggio 2021 ore 18:11,2021-05-13
P.A. Trento,53,44.737,862,158,68,8%,50,9,420%,18,330,-1000%,Dati della Protezione Civile del 13 Maggio 2021 ore 18:11,2021-05-13
Piemonte,706,354.340,11.894,276,1.640,14%,1.497,35,-640%,143,332,-140%,Dati della Protezione Civile del 13 Maggio 2021 ore 18:11,2021-05-13
Puglia,554,244.787,40.295,1.019,1.383,3%,1.239,31,-580%,144,364,-1060%,Dati della Protezione Civile del 13 Maggio 2021 ore 18:11,2021-05-13
Sardegna,72,55.933,14.754,915,280,2%,241,15,-510%,39,242,260%,Dati della Protezione Civile del 13 Maggio 2021 ore 18:11,2021-05-13
Sicilia,603,218.520,19.165,393,1.007,5%,883,18,-390%,124,254,-080%,Dati della Protezione Civile del 13 Maggio 2021 ore 18:11,2021-05-13
Toscana,651,235.243,15.430,418,1.165,8%,978,26,-360%,187,506,-050%,Dati della Protezione Civile del 13 Maggio 2021 ore 18:11,2021-05-13
Umbria,139,55.618,2.542,292,146,6%,125,14,-600%,21,241,-450%,Dati della Protezione Civile del 13 Maggio 2021 ore 18:11,2021-05-13
Valle d'Aosta,29,11.311,503,402,27,5%,21,17,1050%,6,480,-1430%,Dati della Protezione Civile del 13 Maggio 2021 ore 18:11,2021-05-13
Veneto,468,419.105,17.111,351,749,4%,640,13,-450%,109,223,-090%,Dati della Protezione Civile del 13 Maggio 2021 ore 18:11,2021-05-13
Abruzzo,144,73.030,6.886,532,234,3%,215,17,-850%,19,147,-500%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06,2021-05-14
Basilicata,114,25.416,5.317,961,125,2%,116,21,-410%,9,163,-1000%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06,2021-05-14
Calabria,253,64.215,12.345,652,411,3%,382,20,-450%,29,153,360%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06,2021-05-14
Campania,1.118,409.771,80.651,1.412,1.349,2%,1.247,22,-300%,102,179,-290%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06,2021-05-14
Emilia-Romagna,551,378.607,26.892,602,1.296,5%,1.136,25,-530%,160,358,-180%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06,2021-05-14
Friuli Venezia Giulia,36,106.404,5.883,488,106,2%,89,7,-920%,17,141,-560%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06,2021-05-14
Lazio,706,335.276,34.741,604,1.830,5%,1.599,28,060%,231,401,-090%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06,2021-05-14
Liguria,138,101.605,3.207,210,352,11%,303,20,-710%,49,321,430%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06,2021-05-14
Lombardia,1.160,823.539,38.689,386,2.662,7%,2.251,22,-430%,411,410,-140%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06,2021-05-14
Marche,252,100.660,4.803,318,328,7%,278,18,-280%,50,331,000%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06,2021-05-14
Molise,15,13.492,334,111,22,7%,18,6,-1000%,4,133,000%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06,2021-05-14
P.A. Bolzano,73,72.106,1.036,195,30,3%,23,4,-420%,7,131,000%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06,2021-05-14
P.A. Trento,51,44.788,807,148,68,8%,50,9,000%,18,330,000%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06,2021-05-14
Piemonte,595,354.935,11.509,267,1.546,13%,1.402,33,-630%,144,334,070%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06,2021-05-14
Puglia,591,245.378,39.241,993,1.321,3%,1.182,30,-460%,139,352,-350%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06,2021-05-14
Sardegna,99,56.032,14.550,903,261,2%,222,14,-790%,39,242,000%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06,2021-05-14
Sicilia,573,219.093,18.009,369,961,5%,841,17,-480%,120,246,-320%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06,2021-05-14
Toscana,529,235.772,14.974,406,1.117,7%,935,25,-440%,182,493,-270%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06,2021-05-14
Umbria,73,55.691,2.481,285,144,6%,126,14,080%,18,207,-1430%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06,2021-05-14
Valle d'Aosta,43,11.354,516,413,31,6%,25,20,1900%,6,480,000%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06,2021-05-14
Veneto,453,419.558,16.735,343,716,4%,610,13,-470%,106,217,-280%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06,2021-05-14
Abruzzo,112,73.142,6.892,533,224,3%,205,16,-470%,19,147,000%,Dati della Protezione Civile del 15 Maggio 2021 ore 19:48,2021-05-15
Basilicata,119,25.535,5.241,947,119,2%,110,20,-520%,9,163,000%,Dati della Protezione Civile del 15 Maggio 2021 ore 19:48,2021-05-15
Calabria,193,64.408,12.334,651,405,3%,380,20,-050%,25,132,-1380%,Dati della Protezione Civile del 15 Maggio 2021 ore 19:48,2021-05-15
Campania,946,410.717,80.158,1.403,1.298,2%,1.196,21,-410%,102,179,000%,Dati della Protezione Civile del 15 Maggio 2021 ore 19:48,2021-05-15
Emilia-Romagna,530,379.130,24.719,554,1.217,5%,1.057,24,-700%,160,358,000%,Dati della Protezione Civile del 15 Maggio 2021 ore 19:48,2021-05-15
Friuli Venezia Giulia,68,106.472,5.781,479,90,2%,74,6,-1690%,16,133,-590%,Dati della Protezione Civile del 15 Maggio 2021 ore 19:48,2021-05-15
Lazio,621,335.897,33.867,588,1.824,5%,1.591,28,-050%,233,405,090%,Dati della Protezione Civile del 15 Maggio 2021 ore 19:48,2021-05-15
Liguria,97,101.702,3.117,204,342,11%,290,19,-430%,52,341,610%,Dati della Protezione Civile del 15 Maggio 2021 ore 19:48,2021-05-15
Lombardia,1.154,824.693,38.726,386,2.549,7%,2.159,22,-410%,390,389,-510%,Dati della Protezione Civile del 15 Maggio 2021 ore 19:48,2021-05-15
Marche,149,100.809,4.713,312,316,7%,269,18,-320%,47,311,-600%,Dati della Protezione Civile del 15 Maggio 2021 ore 19:48,2021-05-15
Molise,8,13.500,335,111,22,7%,18,6,000%,4,133,000%,Dati della Protezione Civile del 15 Maggio 2021 ore 19:48,2021-05-15
P.A. Bolzano,58,72.164,1.030,193,28,3%,21,4,-870%,7,131,000%,Dati della Protezione Civile del 15 Maggio 2021 ore 19:48,2021-05-15
P.A. Trento,43,44.831,800,147,65,8%,47,9,-600%,18,330,000%,Dati della Protezione Civile del 15 Maggio 2021 ore 19:48,2021-05-15
Piemonte,472,355.407,11.106,258,1.423,13%,1.284,30,-840%,139,322,-350%,Dati della Protezione Civile del 15 Maggio 2021 ore 19:48,2021-05-15
Puglia,567,245.945,38.736,980,1.260,3%,1.126,28,-470%,134,339,-360%,Dati della Protezione Civile del 15 Maggio 2021 ore 19:48,2021-05-15
Sardegna,67,56.099,14.459,897,256,2%,218,14,-180%,38,236,-260%,Dati della Protezione Civile del 15 Maggio 2021 ore 19:48,2021-05-15
Sicilia,557,219.650,17.513,359,947,5%,833,17,-100%,114,234,-500%,Dati della Protezione Civile del 15 Maggio 2021 ore 19:48,2021-05-15
Toscana,491,236.263,14.531,394,1.064,7%,884,24,-550%,180,487,-110%,Dati della Protezione Civile del 15 Maggio 2021 ore 19:48,2021-05-15
Umbria,54,55.745,2.406,276,138,6%,122,14,-320%,16,184,-1110%,Dati della Protezione Civile del 15 Maggio 2021 ore 19:48,2021-05-15
Valle d'Aosta,10,11.364,472,377,29,6%,24,19,-400%,5,400,-1670%,Dati della Protezione Civile del 15 Maggio 2021 ore 19:48,2021-05-15
Veneto,343,419.901,15.894,326,682,4%,585,12,-410%,97,199,-850%,Dati della Protezione Civile del 15 Maggio 2021 ore 19:48,2021-05-15
Abruzzo,100,73.242,6.968,539,221,3%,199,15,-290%,22,170,1580%,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18,2021-05-16
Basilicata,92,25.627,5.138,929,116,2%,107,19,-270%,9,163,000%,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18,2021-05-16
Calabria,224,64.632,12.383,654,382,3%,361,19,-500%,21,111,-1600%,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18,2021-05-16
Campania,919,411.636,79.642,1.394,1.273,2%,1.174,21,-180%,99,173,-290%,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18,2021-05-16
Emilia-Romagna,452,379.577,23.429,525,1.199,5%,1.042,23,-140%,157,352,-190%,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18,2021-05-16
Friuli Venezia Giulia,33,106.505,5.724,475,88,2%,72,6,-270%,16,133,000%,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18,2021-05-16
Lazio,577,336.474,33.427,581,1.784,5%,1.548,27,-270%,236,410,130%,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18,2021-05-16
Liguria,80,101.782,2.966,195,331,11%,280,18,-340%,51,334,-190%,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18,2021-05-16
Lombardia,796,825.489,38.514,384,2.435,6%,2.053,20,-490%,382,381,-210%,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18,2021-05-16
Marche,215,101.024,4.745,314,303,6%,256,17,-480%,47,311,000%,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18,2021-05-16
Molise,14,13.514,314,104,22,7%,18,6,000%,4,133,000%,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18,2021-05-16
P.A. Bolzano,61,72.225,1.005,189,24,2%,18,3,-1430%,6,113,-1430%,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18,2021-05-16
P.A. Trento,83,44.914,773,142,65,8%,48,9,210%,17,312,-560%,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18,2021-05-16
Piemonte,403,355.810,10.855,252,1.388,13%,1.250,29,-260%,138,320,-070%,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18,2021-05-16
Puglia,404,246.349,38.718,979,1.251,3%,1.124,28,-020%,127,321,-520%,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18,2021-05-16
Sardegna,33,56.132,14.401,894,251,2%,212,13,-280%,39,242,260%,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18,2021-05-16
Sicilia,405,220.055,17.159,352,930,5%,812,17,-250%,118,242,350%,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18,2021-05-16
Toscana,506,236.769,14.271,386,1.017,7%,842,23,-480%,175,474,-280%,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18,2021-05-16
Umbria,59,55.804,2.383,274,140,6%,124,14,160%,16,184,000%,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18,2021-05-16
Valle d'Aosta,20,11.384,451,361,26,6%,22,18,-830%,4,320,-2000%,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18,2021-05-16
Veneto,277,420.178,15.616,320,667,4%,572,12,-220%,95,195,-210%,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18,2021-05-16
Abruzzo,20,73.262,6.877,531,223,3%,202,16,150%,21,162,-450%,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24,2021-05-17
Basilicata,17,25.644,4.953,895,115,2%,107,19,000%,8,145,-1110%,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24,2021-05-17
Calabria,71,64.703,11.784,622,379,3%,356,19,-140%,23,121,950%,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24,2021-05-17
Campania,550,412.186,78.571,1.376,1.261,2%,1.166,20,-070%,95,166,-400%,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24,2021-05-17
Emilia-Romagna,342,379.918,23.008,515,1.218,5%,1.062,24,190%,156,349,-060%,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24,2021-05-17
Friuli Venezia Giulia,16,106.521,5.708,473,87,2%,72,6,000%,15,124,-630%,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24,2021-05-17
Lazio,388,336.862,32.744,569,1.798,5%,1.563,27,100%,235,408,-040%,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24,2021-05-17
Liguria,51,101.833,2.961,194,319,11%,267,18,-460%,52,341,200%,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24,2021-05-17
Lombardia,675,826.164,38.238,381,2.399,6%,2.028,20,-120%,371,370,-290%,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24,2021-05-17
Marche,53,101.077,4.725,312,310,7%,262,17,230%,48,317,210%,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24,2021-05-17
Molise,1,13.515,292,97,23,8%,19,6,560%,4,133,000%,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24,2021-05-17
P.A. Bolzano,3,72.228,979,184,19,2%,18,3,000%,1,019,-8330%,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24,2021-05-17
P.A. Trento,15,44.929,759,139,62,8%,47,9,-210%,15,275,-1180%,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24,2021-05-17
Piemonte,207,356.017,10.418,242,1.319,13%,1.179,27,-570%,140,325,140%,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24,2021-05-17
Puglia,145,246.494,37.627,952,1.223,3%,1.097,28,-240%,126,319,-080%,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24,2021-05-17
Sardegna,23,56.155,14.241,884,250,2%,211,13,-050%,39,242,000%,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24,2021-05-17
Sicilia,299,220.354,16.696,342,920,6%,808,17,-050%,112,230,-510%,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24,2021-05-17
Toscana,382,237.151,14.031,380,1.031,7%,853,23,130%,178,482,170%,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24,2021-05-17
Umbria,15,55.819,2.327,267,131,6%,114,13,-810%,17,195,630%,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24,2021-05-17
Valle d'Aosta,9,11.393,442,354,25,6%,22,18,000%,3,240,-2500%,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24,2021-05-17
Veneto,173,420.351,15.510,318,666,4%,571,12,-020%,95,195,000%,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24,2021-05-17
Abruzzo,33,73.295,6.414,496,217,3%,199,15,-150%,18,139,-1430%,Dati della Protezione Civile del 18 Maggio 2021 ore 18:14,2021-05-18
Basilicata,84,25.728,4.890,884,109,2%,100,18,-650%,9,163,1250%,Dati della Protezione Civile del 18 Maggio 2021 ore 18:14,2021-05-18
Calabria,108,64.811,11.488,607,373,3%,347,18,-250%,26,137,1300%,Dati della Protezione Civile del 18 Maggio 2021 ore 18:14,2021-05-18
Campania,598,412.784,77.229,1.352,1.214,2%,1.118,20,-410%,96,168,110%,Dati della Protezione Civile del 18 Maggio 2021 ore 18:14,2021-05-18
Emilia-Romagna,331,380.246,22.281,499,1.152,5%,1.003,22,-560%,149,334,-450%,Dati della Protezione Civile del 18 Maggio 2021 ore 18:14,2021-05-18
Friuli Venezia Giulia,42,106.563,5.574,462,80,1%,65,5,-970%,15,124,000%,Dati della Protezione Civile del 18 Maggio 2021 ore 18:14,2021-05-18
Lazio,348,337.210,32.055,557,1.735,5%,1.519,26,-280%,216,375,-810%,Dati della Protezione Civile del 18 Maggio 2021 ore 18:14,2021-05-18
Liguria,80,101.913,2.801,184,301,11%,251,16,-600%,50,328,-380%,Dati della Protezione Civile del 18 Maggio 2021 ore 18:14,2021-05-18
Lombardia,598,826.762,37.813,377,2.345,6%,1.992,20,-180%,353,352,-490%,Dati della Protezione Civile del 18 Maggio 2021 ore 18:14,2021-05-18
Marche,115,101.192,4.683,310,280,6%,233,15,-1110%,47,311,-210%,Dati della Protezione Civile del 18 Maggio 2021 ore 18:14,2021-05-18
Molise,3,13.518,282,94,22,8%,18,6,-530%,4,133,000%,Dati della Protezione Civile del 18 Maggio 2021 ore 18:14,2021-05-18
P.A. Bolzano,85,72.313,944,177,27,3%,21,4,1670%,6,113,50000%,Dati della Protezione Civile del 18 Maggio 2021 ore 18:14,2021-05-18
P.A. Trento,36,44.965,679,124,60,9%,46,8,-210%,14,257,-670%,Dati della Protezione Civile del 18 Maggio 2021 ore 18:14,2021-05-18
Piemonte,437,356.454,9.956,231,1.253,13%,1.114,26,-550%,139,322,-070%,Dati della Protezione Civile del 18 Maggio 2021 ore 18:14,2021-05-18
Puglia,407,246.901,36.789,931,1.159,3%,1.035,26,-570%,124,314,-160%,Dati della Protezione Civile del 18 Maggio 2021 ore 18:14,2021-05-18
Sardegna,61,56.216,13.994,868,245,2%,205,13,-280%,40,248,260%,Dati della Protezione Civile del 18 Maggio 2021 ore 18:14,2021-05-18
Sicilia,411,220.765,16.293,334,894,5%,786,16,-270%,108,222,-360%,Dati della Protezione Civile del 18 Maggio 2021 ore 18:14,2021-05-18
Toscana,291,237.442,13.932,377,969,7%,802,22,-600%,167,452,-620%,Dati della Protezione Civile del 18 Maggio 2021 ore 18:14,2021-05-18
Umbria,69,55.888,2.343,269,130,6%,113,13,-090%,17,195,000%,Dati della Protezione Civile del 18 Maggio 2021 ore 18:14,2021-05-18
Valle d'Aosta,9,11.402,387,310,29,7%,26,21,1820%,3,240,000%,Dati della Protezione Civile del 18 Maggio 2021 ore 18:14,2021-05-18
Veneto,306,420.657,14.481,297,634,4%,546,11,-440%,88,180,-740%,Dati della Protezione Civile del 18 Maggio 2021 ore 18:14,2021-05-18
Abruzzo,72,73.366,6.095,471,218,4%,200,15,050%,18,139,000%,Dati della Protezione Civile del 19 Maggio 2021 ore 18:02,2021-05-19
Basilicata,67,25.795,4.755,859,97,2%,91,16,-900%,6,108,-3330%,Dati della Protezione Civile del 19 Maggio 2021 ore 18:02,2021-05-19
Calabria,228,65.039,11.206,592,367,3%,340,18,-200%,27,143,380%,Dati della Protezione Civile del 19 Maggio 2021 ore 18:02,2021-05-19
Campania,634,413.418,76.325,1.336,1.174,2%,1.081,19,-330%,93,163,-310%,Dati della Protezione Civile del 19 Maggio 2021 ore 18:02,2021-05-19
Emilia-Romagna,328,380.569,22.014,493,1.082,5%,937,21,-660%,145,325,-270%,Dati della Protezione Civile del 19 Maggio 2021 ore 18:02,2021-05-19
Friuli Venezia Giulia,56,106.619,5.442,451,77,1%,64,5,-150%,13,108,-1330%,Dati della Protezione Civile del 19 Maggio 2021 ore 18:02,2021-05-19
Lazio,466,337.676,30.625,532,1.669,5%,1.454,25,-430%,215,374,-050%,Dati della Protezione Civile del 19 Maggio 2021 ore 18:02,2021-05-19
Liguria,85,101.998,2.665,175,278,10%,231,15,-800%,47,308,-600%,Dati della Protezione Civile del 19 Maggio 2021 ore 18:02,2021-05-19
Lombardia,936,827.698,37.242,371,2.257,6%,1.920,19,-360%,337,336,-450%,Dati della Protezione Civile del 19 Maggio 2021 ore 18:02,2021-05-19
Marche,130,101.322,4.610,305,260,6%,216,14,-730%,44,291,-640%,Dati della Protezione Civile del 19 Maggio 2021 ore 18:02,2021-05-19
Molise,11,13.529,263,88,22,8%,18,6,000%,4,133,000%,Dati della Protezione Civile del 19 Maggio 2021 ore 18:02,2021-05-19
P.A. Bolzano,70,72.383,929,174,25,3%,19,4,-950%,6,113,000%,Dati della Protezione Civile del 19 Maggio 2021 ore 18:02,2021-05-19
P.A. Trento,59,45.024,646,118,55,9%,42,8,-870%,13,238,-710%,Dati della Protezione Civile del 19 Maggio 2021 ore 18:02,2021-05-19
Piemonte,515,356.969,9.420,218,1.208,13%,1.075,25,-350%,133,308,-430%,Dati della Protezione Civile del 19 Maggio 2021 ore 18:02,2021-05-19
Puglia,433,247.334,35.761,905,1.118,3%,991,25,-430%,127,321,240%,Dati della Protezione Civile del 19 Maggio 2021 ore 18:02,2021-05-19
Sardegna,69,56.285,13.769,854,233,2%,195,12,-490%,38,236,-500%,Dati della Protezione Civile del 19 Maggio 2021 ore 18:02,2021-05-19
Sicilia,603,221.368,15.268,313,840,6%,733,15,-670%,107,219,-090%,Dati della Protezione Civile del 19 Maggio 2021 ore 18:02,2021-05-19
Toscana,341,237.783,13.473,365,929,7%,759,21,-540%,170,460,180%,Dati della Protezione Civile del 19 Maggio 2021 ore 18:02,2021-05-19
Umbria,47,55.935,2.248,258,122,5%,106,12,-620%,16,184,-590%,Dati della Protezione Civile del 19 Maggio 2021 ore 18:02,2021-05-19
Valle d'Aosta,23,11.425,354,283,23,6%,23,18,-1150%,0,000,-10000%,Dati della Protezione Civile del 19 Maggio 2021 ore 18:02,2021-05-19
Veneto,333,420.990,13.620,279,607,4%,523,11,-420%,84,172,-450%,Dati della Protezione Civile del 19 Maggio 2021 ore 18:02,2021-05-19
Abruzzo,67,73.493,5.830,451,197,3%,182,14,060%,15,116,-630%,Dati della Protezione Civile del 21 Maggio 2021 ore 17:51,2021-05-21
Basilicata,62,25.910,4.599,831,91,2%,86,16,-650%,5,090,000%,Dati della Protezione Civile del 21 Maggio 2021 ore 17:51,2021-05-21
Calabria,253,65.555,11.140,588,341,3%,314,17,-340%,27,143,000%,Dati della Protezione Civile del 21 Maggio 2021 ore 17:51,2021-05-21
Campania,705,414.772,74.328,1.301,1.129,2%,1.042,18,-180%,87,152,-650%,Dati della Protezione Civile del 21 Maggio 2021 ore 17:51,2021-05-21
Emilia-Romagna,412,381.439,21.208,475,978,5%,851,19,-410%,127,284,-730%,Dati della Protezione Civile del 21 Maggio 2021 ore 17:51,2021-05-21
Friuli Venezia Giulia,38,106.698,5.327,442,67,1%,55,5,-830%,12,099,910%,Dati della Protezione Civile del 21 Maggio 2021 ore 17:51,2021-05-21
Lazio,471,338.705,28.927,503,1.528,5%,1.323,23,-510%,205,356,-240%,Dati della Protezione Civile del 21 Maggio 2021 ore 17:51,2021-05-21
Liguria,70,102.179,2.161,142,248,11%,203,13,-900%,45,295,470%,Dati della Protezione Civile del 21 Maggio 2021 ore 17:51,2021-05-21
Lombardia,847,829.548,36.221,361,1.970,5%,1.662,17,-530%,308,307,-250%,Dati della Protezione Civile del 21 Maggio 2021 ore 17:51,2021-05-21
Marche,176,101.712,4.546,301,234,5%,194,13,-050%,40,264,-240%,Dati della Protezione Civile del 21 Maggio 2021 ore 17:51,2021-05-21
Molise,9,13.544,233,78,21,9%,16,5,670%,5,166,000%,Dati della Protezione Civile del 21 Maggio 2021 ore 17:51,2021-05-21
P.A. Bolzano,56,72.496,889,167,21,2%,15,3,-2110%,6,113,000%,Dati della Protezione Civile del 21 Maggio 2021 ore 17:51,2021-05-21
P.A. Trento,35,45.102,620,114,48,8%,34,6,-810%,14,257,000%,Dati della Protezione Civile del 21 Maggio 2021 ore 17:51,2021-05-21
Piemonte,393,357.788,8.556,198,1.044,12%,938,22,-630%,106,246,-1240%,Dati della Protezione Civile del 21 Maggio 2021 ore 17:51,2021-05-21
Puglia,365,248.085,33.147,838,991,3%,889,22,-290%,102,258,-810%,Dati della Protezione Civile del 21 Maggio 2021 ore 17:51,2021-05-21
Sardegna,42,56.374,13.540,840,221,2%,186,12,-410%,35,217,-540%,Dati della Protezione Civile del 21 Maggio 2021 ore 17:51,2021-05-21
Sicilia,493,222.304,14.015,287,778,6%,679,14,-360%,99,203,-480%,Dati della Protezione Civile del 21 Maggio 2021 ore 17:51,2021-05-21
Toscana,392,238.734,12.288,333,837,7%,689,19,-420%,148,401,-630%,Dati della Protezione Civile del 21 Maggio 2021 ore 17:51,2021-05-21
Umbria,45,56.025,2.097,241,101,5%,89,10,-730%,12,138,-2000%,Dati della Protezione Civile del 21 Maggio 2021 ore 17:51,2021-05-21
Valle d'Aosta,13,11.456,325,260,22,7%,22,18,-430%,0,000,000%,Dati della Protezione Civile del 21 Maggio 2021 ore 17:51,2021-05-21
Veneto,274,421.557,11.791,242,527,4%,456,9,-620%,71,146,-410%,Dati della Protezione Civile del 21 Maggio 2021 ore 17:51,2021-05-21
Abruzzo,128,73.621,5.901,456,196,3%,179,14,-160%,17,131,1330%,Dati della Protezione Civile del 22 Maggio 2021 ore 20:30,2021-05-22
Basilicata,67,25.977,4.542,821,89,2%,84,15,-230%,5,090,000%,Dati della Protezione Civile del 22 Maggio 2021 ore 20:30,2021-05-22
Calabria,161,65.716,11.173,590,318,3%,294,16,-640%,24,127,-1110%,Dati della Protezione Civile del 22 Maggio 2021 ore 20:30,2021-05-22
Campania,565,415.337,72.531,1.270,1.093,2%,1.011,18,-300%,82,144,-570%,Dati della Protezione Civile del 22 Maggio 2021 ore 20:30,2021-05-22
Emilia-Romagna,340,381.776,19.338,433,917,5%,791,18,-710%,126,282,-080%,Dati della Protezione Civile del 22 Maggio 2021 ore 20:30,2021-05-22
Friuli Venezia Giulia,39,106.737,5.288,438,60,1%,50,4,-910%,10,083,-1670%,Dati della Protezione Civile del 22 Maggio 2021 ore 20:30,2021-05-22
Lazio,494,339.199,28.334,492,1.478,5%,1.283,22,-300%,195,339,-490%,Dati della Protezione Civile del 22 Maggio 2021 ore 20:30,2021-05-22
Liguria,60,102.239,2.048,134,237,12%,194,13,-440%,43,282,-440%,Dati della Protezione Civile del 22 Maggio 2021 ore 20:30,2021-05-22
Lombardia,828,830.376,35.416,353,1.864,5%,1.566,16,-580%,298,297,-320%,Dati della Protezione Civile del 22 Maggio 2021 ore 20:30,2021-05-22
