X,Y,OBJECTID,COD_ISTATN,NOME_COM,NOME_PRO,SIG_PRO,NOME_REG,COORDX,COORDY,OBJECTID_1,DATA_RICEVIMENTO_TAMPONE,POSITIVI,DECEDUTI,FID
9.74453215,45.72409902,"697","3016240",VILLA DI SERIO,BERGAMO,BG,LOMBARDIA,9.74453215,45.72409902,"697","1583625600000","0","1","1751"
9.7995435,45.67216233,"93","3016139",MONTELLO,BERGAMO,BG,LOMBARDIA,9.7995435,45.67216233,"93","1583712000000","1","0","1752"
9.74006103,45.69546517,"1332","3016160",PEDRENGO,BERGAMO,BG,LOMBARDIA,9.74006103,45.69546517,"1332","1583798400000","4","0","1753"
9.66094464,45.6148151,"371","3016081",COMUN NUOVO,BERGAMO,BG,LOMBARDIA,9.66094464,45.6148151,"371","1583539200000","2","0","1754"
9.74453215,45.72409902,"697","3016240",VILLA DI SERIO,BERGAMO,BG,LOMBARDIA,9.74453215,45.72409902,"697","1583712000000","3","0","1755"
9.70901774,45.54078057,"879","3016140",MORENGO,BERGAMO,BG,LOMBARDIA,9.70901774,45.54078057,"879","1583625600000","1","0","1756"
9.91072141,45.7960108,"955","3016161",PEIA,BERGAMO,BG,LOMBARDIA,9.91072141,45.7960108,"955","1582675200000","2","0","1757"
9.66094464,45.6148151,"371","3016081",COMUN NUOVO,BERGAMO,BG,LOMBARDIA,9.66094464,45.6148151,"371","1583712000000","1","0","1758"
9.74453215,45.72409902,"697","3016240",VILLA DI SERIO,BERGAMO,BG,LOMBARDIA,9.74453215,45.72409902,"697","1583798400000","1","0","1759"
9.80481652,45.5874765,"1294","3016141",MORNICO AL SERIO,BERGAMO,BG,LOMBARDIA,9.80481652,45.5874765,"1294","1583193600000","0","1","1760"
9.91072141,45.7960108,"955","3016161",PEIA,BERGAMO,BG,LOMBARDIA,9.91072141,45.7960108,"955","1583625600000","1","0","1761"
9.54903912,45.83355047,"978","3016082",CORNA IMAGNA,BERGAMO,BG,LOMBARDIA,9.54903912,45.83355047,"978","1583539200000","1","0","1762"
9.74453215,45.72409902,"697","3016240",VILLA DI SERIO,BERGAMO,BG,LOMBARDIA,9.74453215,45.72409902,"697","1583971200000","1","0","1763"
9.80481652,45.5874765,"1294","3016141",MORNICO AL SERIO,BERGAMO,BG,LOMBARDIA,9.80481652,45.5874765,"1294","1583280000000","1","0","1764"
9.91072141,45.7960108,"955","3016161",PEIA,BERGAMO,BG,LOMBARDIA,9.91072141,45.7960108,"955","1583712000000","1","0","1765"
9.54903912,45.83355047,"978","3016082",CORNA IMAGNA,BERGAMO,BG,LOMBARDIA,9.54903912,45.83355047,"978","1583712000000","1","0","1766"
9.93286025,45.90794731,"1378","3016241",VILLA D`OGNA,BERGAMO,BG,LOMBARDIA,9.93286025,45.90794731,"1378","1583193600000","1","0","1767"
9.80481652,45.5874765,"1294","3016141",MORNICO AL SERIO,BERGAMO,BG,LOMBARDIA,9.80481652,45.5874765,"1294","1583452800000","2","0","1768"
10.04080893,45.80610077,"721","3016162",PIANICO,BERGAMO,BG,LOMBARDIA,10.04080893,45.80610077,"721","1583625600000","1","0","1769"
9.79704601,45.65497454,"66","3016084",COSTA DI MEZZATE,BERGAMO,BG,LOMBARDIA,9.79704601,45.65497454,"66","1582588800000","1","0","1770"
9.93286025,45.90794731,"1378","3016241",VILLA D`OGNA,BERGAMO,BG,LOMBARDIA,9.93286025,45.90794731,"1378","1583712000000","1","0","1771"
9.80481652,45.5874765,"1294","3016141",MORNICO AL SERIO,BERGAMO,BG,LOMBARDIA,9.80481652,45.5874765,"1294","1583625600000","1","0","1772"
9.92361998,45.89245613,"666","3016163",PIARIO,BERGAMO,BG,LOMBARDIA,9.92361998,45.89245613,"666","1583712000000","2","0","1773"
9.79704601,45.65497454,"66","3016084",COSTA DI MEZZATE,BERGAMO,BG,LOMBARDIA,9.79704601,45.65497454,"66","1582675200000","1","0","1774"
9.79704601,45.65497454,"66","3016084",COSTA DI MEZZATE,BERGAMO,BG,LOMBARDIA,9.79704601,45.65497454,"66","1583366400000","1","0","1775"
9.79704601,45.65497454,"66","3016084",COSTA DI MEZZATE,BERGAMO,BG,LOMBARDIA,9.79704601,45.65497454,"66","1583452800000","1","0","1776"
9.79704601,45.65497454,"66","3016084",COSTA DI MEZZATE,BERGAMO,BG,LOMBARDIA,9.79704601,45.65497454,"66","1583539200000","1","0","1777"
